500 10000
436 343 104 
292 202 92 
479 145 352 
310 498 967 
252 318 724 
50 448 171 
387 404 747 
24 366 825 
242 485 420 
22 164 946 
66 256 653 
259 496 202 
249 310 108 
242 49 602 
393 363 71 
346 51 287 
146 205 96 
88 71 433 
255 429 535 
389 73 582 
491 168 972 
124 282 449 
113 239 266 
43 282 184 
397 6 954 
362 32 412 
427 377 618 
6 111 981 
272 482 552 
170 150 503 
460 466 691 
74 73 381 
370 499 665 
399 456 188 
308 372 722 
68 249 644 
451 116 881 
29 438 595 
57 380 259 
301 474 224 
488 203 471 
395 498 574 
466 304 688 
265 190 909 
236 486 612 
340 25 299 
79 111 479 
145 390 692 
15 13 994 
93 189 363 
438 475 35 
235 399 513 
213 359 482 
152 103 475 
240 430 396 
273 409 97 
99 169 938 
62 171 124 
40 257 565 
431 205 572 
155 488 148 
48 432 981 
68 385 539 
412 482 483 
273 157 888 
342 142 264 
316 238 883 
307 319 191 
247 307 491 
379 323 639 
192 81 503 
402 461 318 
372 381 209 
52 111 856 
157 435 329 
122 467 365 
434 184 580 
79 239 417 
159 79 762 
404 25 742 
324 133 510 
413 122 156 
153 251 872 
174 409 462 
485 440 621 
198 459 908 
448 82 905 
476 399 452 
411 32 541 
435 220 210 
486 25 976 
378 485 561 
474 370 290 
435 190 858 
228 238 159 
217 405 479 
327 108 259 
57 410 365 
177 377 984 
141 297 900 
98 386 514 
300 276 136 
394 347 404 
189 14 355 
101 209 206 
55 488 656 
19 69 947 
468 334 412 
101 61 103 
150 132 313 
22 252 0 
96 148 767 
106 196 647 
28 108 547 
258 439 508 
430 405 66 
400 88 938 
43 328 987 
76 108 449 
57 413 264 
321 494 852 
269 333 216 
351 85 348 
210 397 552 
474 291 644 
10 6 616 
118 328 573 
390 423 641 
93 245 491 
366 413 650 
119 274 319 
93 198 695 
236 481 258 
496 432 44 
264 302 621 
159 57 388 
176 188 699 
315 300 822 
385 60 507 
211 481 217 
401 438 251 
395 255 477 
164 382 315 
32 121 0 
341 33 239 
94 433 535 
462 188 542 
449 266 267 
410 492 169 
123 239 534 
170 87 785 
196 108 849 
122 209 942 
162 402 80 
254 110 143 
288 448 588 
495 205 867 
464 318 719 
191 32 680 
497 163 500 
219 64 526 
132 413 544 
415 360 475 
446 27 711 
208 354 75 
11 227 6 
307 45 107 
214 120 263 
266 389 873 
118 225 854 
313 388 593 
10 469 321 
232 258 770 
228 65 901 
448 437 561 
153 387 864 
192 237 687 
110 127 551 
461 351 635 
284 92 89 
380 147 790 
39 469 52 
410 56 331 
207 248 372 
437 386 145 
152 11 418 
87 197 450 
322 467 208 
363 130 284 
165 151 769 
231 193 881 
87 97 955 
346 24 876 
288 273 217 
431 484 516 
136 283 163 
231 115 158 
329 81 928 
424 311 870 
164 365 562 
328 391 754 
346 196 711 
319 363 380 
87 311 841 
317 31 382 
375 114 427 
247 12 803 
297 295 428 
309 51 236 
157 500 248 
220 454 727 
121 300 860 
169 97 240 
44 253 801 
126 308 844 
19 238 229 
444 220 805 
300 26 970 
261 18 619 
77 406 618 
71 434 695 
460 14 872 
413 132 805 
393 8 390 
110 325 319 
61 74 163 
334 298 383 
495 433 369 
125 5 666 
175 389 151 
354 356 882 
302 30 206 
351 327 723 
267 82 505 
136 478 142 
227 414 65 
71 234 481 
15 157 864 
233 30 907 
451 382 639 
395 134 97 
438 131 845 
14 132 319 
315 419 555 
450 302 592 
72 22 850 
158 3 712 
316 237 491 
56 220 593 
75 81 428 
137 241 607 
5 478 89 
411 245 924 
48 102 797 
304 440 667 
220 39 189 
41 157 547 
284 316 895 
462 165 196 
13 432 387 
410 320 229 
283 72 77 
376 426 435 
79 112 697 
166 255 700 
132 47 317 
119 10 364 
1 23 566 
64 381 558 
354 181 340 
293 219 21 
74 440 632 
331 497 378 
55 472 374 
206 412 557 
136 82 405 
272 201 118 
453 135 979 
115 423 598 
480 332 719 
74 296 360 
105 67 205 
202 2 132 
156 289 937 
217 101 388 
462 32 61 
379 28 528 
101 249 239 
21 408 882 
232 448 87 
376 3 57 
421 346 524 
488 166 640 
53 159 214 
348 304 643 
52 311 806 
158 79 556 
391 104 215 
128 184 982 
465 435 916 
381 108 944 
482 146 192 
344 215 652 
113 298 920 
281 227 433 
127 300 193 
26 489 11 
63 242 977 
203 284 4 
443 435 237 
465 147 45 
255 499 35 
486 99 826 
178 125 492 
393 207 885 
136 113 429 
225 347 847 
104 61 243 
441 104 912 
38 351 477 
433 116 376 
417 337 718 
155 175 620 
146 113 978 
383 470 932 
237 329 148 
57 331 5 
100 188 349 
66 246 766 
334 174 872 
307 193 508 
481 47 112 
483 479 322 
361 261 918 
23 180 286 
35 97 191 
221 62 930 
439 34 86 
76 189 816 
329 326 692 
55 398 866 
380 12 465 
130 494 773 
437 324 71 
114 46 240 
248 154 319 
291 32 851 
255 13 265 
245 246 102 
2 422 950 
403 398 334 
203 95 59 
114 390 856 
148 142 860 
359 256 874 
372 111 604 
186 499 186 
435 479 123 
121 436 747 
343 278 837 
17 355 240 
165 418 511 
141 147 877 
460 411 192 
271 121 737 
65 97 400 
222 459 712 
364 288 146 
286 251 583 
357 403 729 
105 454 372 
329 247 429 
210 272 957 
461 265 599 
90 260 777 
333 432 955 
438 7 777 
407 29 554 
289 318 649 
326 265 569 
189 12 703 
473 230 904 
248 15 425 
32 494 940 
465 107 724 
11 425 916 
130 195 19 
94 352 131 
55 114 346 
192 48 381 
322 162 909 
471 238 930 
176 152 504 
336 343 647 
476 185 284 
130 18 228 
344 336 313 
53 409 174 
87 422 126 
145 293 138 
374 363 146 
77 497 406 
480 321 21 
436 51 580 
379 378 892 
48 88 640 
256 49 875 
355 402 174 
29 127 101 
150 456 785 
129 391 794 
488 363 752 
332 485 428 
347 60 943 
494 90 83 
83 307 986 
351 313 13 
442 431 159 
120 339 908 
181 2 951 
386 187 882 
464 273 561 
42 368 871 
251 227 966 
499 272 301 
47 32 316 
405 237 951 
277 245 0 
216 392 245 
11 122 306 
314 255 781 
461 14 558 
170 143 268 
298 376 172 
253 7 444 
418 323 919 
356 384 810 
482 322 912 
143 136 258 
446 222 168 
49 250 923 
272 167 985 
285 112 179 
222 155 362 
247 92 354 
429 338 256 
61 72 346 
423 329 314 
42 465 571 
226 116 472 
8 384 230 
427 400 683 
427 169 661 
73 243 791 
343 321 811 
428 340 979 
436 78 511 
67 44 309 
129 333 936 
483 292 137 
51 323 666 
51 411 341 
94 354 178 
46 329 350 
345 184 278 
457 104 990 
287 189 707 
212 497 917 
20 73 814 
110 129 838 
247 174 102 
274 434 304 
196 202 320 
274 153 805 
168 196 935 
491 470 922 
135 97 32 
500 493 330 
191 270 420 
39 280 163 
322 482 643 
205 214 973 
66 189 337 
419 228 469 
258 372 724 
365 79 729 
322 107 879 
258 496 930 
302 284 452 
335 419 79 
389 149 855 
243 219 76 
445 131 706 
99 485 286 
360 188 537 
374 274 484 
70 224 639 
128 407 767 
20 424 307 
134 455 524 
214 161 2 
445 385 84 
417 41 394 
400 408 613 
465 46 827 
439 495 89 
133 66 880 
299 213 645 
470 125 145 
397 309 711 
38 194 793 
368 95 847 
392 330 599 
201 250 683 
420 289 672 
170 379 621 
251 144 960 
8 142 877 
128 414 900 
349 401 848 
325 73 373 
245 75 0 
66 279 697 
112 500 99 
377 241 601 
379 385 217 
75 47 595 
226 150 892 
258 285 931 
126 185 323 
83 67 506 
149 471 566 
376 21 452 
94 492 972 
408 19 659 
71 355 880 
178 69 590 
204 303 398 
259 98 217 
388 325 73 
144 436 793 
380 260 64 
221 467 885 
299 84 179 
254 281 189 
308 19 44 
196 298 686 
19 278 902 
479 387 59 
258 331 975 
262 49 552 
96 166 24 
193 34 296 
106 331 277 
86 16 510 
209 18 920 
481 101 369 
307 282 202 
376 417 863 
382 235 619 
183 15 8 
42 309 287 
349 352 513 
364 8 564 
312 5 684 
256 92 999 
117 116 655 
251 306 3 
279 141 358 
223 211 12 
490 493 847 
433 6 958 
113 484 991 
134 258 982 
463 244 629 
402 155 134 
88 287 802 
491 200 871 
246 6 676 
9 289 453 
391 493 1000 
486 195 227 
111 385 957 
471 249 154 
421 229 977 
56 16 409 
274 351 68 
369 443 949 
311 493 500 
352 312 765 
289 446 633 
143 268 360 
183 89 848 
132 272 497 
236 224 590 
347 396 95 
358 107 16 
165 97 16 
242 128 891 
369 338 875 
293 447 552 
406 2 238 
293 218 240 
397 315 506 
201 168 419 
167 450 802 
373 438 932 
267 105 278 
402 100 789 
177 90 668 
87 31 499 
38 386 945 
301 141 844 
246 61 343 
285 323 49 
74 325 390 
102 428 604 
488 5 447 
69 138 933 
52 27 588 
8 235 879 
399 225 104 
372 316 553 
8 203 753 
223 332 876 
433 490 980 
414 13 777 
277 144 865 
462 353 272 
411 296 483 
112 353 774 
88 361 115 
340 254 52 
314 275 668 
368 167 374 
342 1 179 
487 222 772 
58 163 599 
391 363 587 
50 400 935 
466 434 448 
326 468 633 
65 364 444 
455 177 869 
159 396 340 
162 159 586 
327 20 171 
85 448 669 
38 297 225 
412 270 161 
477 164 110 
476 296 86 
301 462 356 
61 67 693 
267 6 547 
327 1 159 
91 491 338 
268 189 448 
218 458 886 
102 272 666 
481 166 733 
276 357 4 
39 18 43 
352 496 553 
183 324 236 
46 423 777 
250 382 471 
445 301 748 
49 92 59 
360 145 154 
106 57 396 
326 140 457 
252 24 377 
265 462 244 
300 359 784 
490 65 817 
199 198 928 
289 472 679 
200 393 999 
484 302 945 
5 495 581 
331 498 381 
260 12 393 
232 168 395 
440 18 995 
59 49 173 
392 207 344 
224 106 650 
3 147 616 
433 83 826 
7 250 543 
302 28 678 
94 23 63 
333 310 519 
141 432 283 
414 441 190 
5 451 57 
460 483 413 
216 199 995 
386 91 553 
432 90 141 
325 32 778 
239 164 178 
278 371 781 
478 361 385 
96 394 258 
443 37 546 
29 200 516 
478 57 757 
183 409 118 
208 292 637 
146 324 452 
277 82 64 
41 208 263 
1 430 451 
261 45 680 
358 102 607 
20 280 208 
421 308 243 
179 292 674 
442 77 384 
352 311 972 
18 319 857 
75 309 715 
301 222 200 
175 219 715 
162 142 910 
487 208 279 
175 422 178 
434 262 720 
409 172 149 
202 298 372 
79 490 499 
174 375 521 
175 457 54 
224 256 161 
145 107 806 
373 26 596 
126 177 704 
147 113 330 
494 452 328 
450 278 813 
344 207 548 
5 308 658 
219 478 750 
55 125 490 
222 55 494 
86 8 755 
12 154 844 
209 119 214 
445 71 974 
7 34 360 
256 417 246 
405 292 758 
46 36 825 
368 447 279 
102 303 632 
298 156 361 
174 467 706 
105 315 73 
174 493 651 
160 4 892 
17 428 762 
2 181 362 
421 293 538 
440 471 122 
274 372 864 
475 140 126 
257 58 977 
25 34 609 
182 230 605 
404 184 787 
483 326 810 
426 314 226 
140 122 969 
194 135 371 
338 293 767 
186 430 571 
465 187 68 
462 224 374 
358 437 704 
303 209 93 
339 251 12 
261 365 289 
446 22 276 
120 25 171 
321 59 848 
260 403 224 
41 46 51 
277 348 735 
360 35 278 
445 382 603 
389 226 981 
438 123 390 
99 6 638 
15 16 364 
274 315 900 
84 396 117 
374 96 732 
240 14 343 
255 357 671 
132 43 491 
42 309 620 
320 279 477 
281 93 52 
421 462 342 
142 276 459 
335 342 888 
428 462 254 
206 492 48 
81 356 515 
121 401 890 
485 491 217 
297 242 868 
297 237 705 
34 129 780 
231 337 991 
143 174 465 
227 435 153 
332 366 693 
312 308 977 
63 126 39 
290 311 819 
451 444 718 
140 234 746 
146 362 845 
258 43 805 
193 318 605 
479 417 169 
124 417 509 
47 240 22 
343 84 982 
26 484 485 
110 44 635 
364 81 765 
444 86 343 
239 87 990 
160 396 987 
134 442 863 
426 355 515 
490 145 674 
67 233 609 
35 385 832 
340 425 551 
358 448 783 
149 310 281 
133 217 952 
45 223 883 
430 427 747 
493 310 361 
266 100 652 
232 110 381 
486 448 645 
300 229 420 
333 49 560 
166 197 753 
88 275 788 
246 367 717 
260 349 987 
135 326 988 
495 234 1000 
186 21 69 
109 366 334 
89 59 698 
424 94 954 
460 71 597 
340 445 507 
111 434 419 
106 448 272 
302 483 875 
39 410 53 
263 257 521 
18 76 430 
314 495 26 
171 206 206 
473 329 995 
322 288 457 
410 26 957 
11 204 849 
481 92 223 
314 109 953 
377 422 950 
285 329 231 
497 214 841 
441 413 579 
167 166 796 
323 116 200 
151 497 236 
15 189 826 
8 400 317 
57 347 318 
284 304 985 
466 157 477 
473 66 719 
293 438 154 
68 428 450 
74 174 17 
118 64 721 
102 370 371 
123 16 290 
181 357 400 
51 254 767 
49 29 177 
269 88 972 
454 410 696 
213 115 560 
312 85 847 
423 356 157 
292 208 701 
358 136 880 
235 357 663 
37 378 600 
88 93 53 
416 263 252 
55 398 698 
437 192 255 
14 30 61 
214 186 422 
293 235 206 
456 125 884 
406 108 601 
178 462 16 
245 439 437 
203 137 135 
164 482 202 
44 132 512 
205 499 777 
470 285 831 
347 155 170 
469 365 81 
98 329 820 
291 226 707 
141 298 802 
406 77 931 
262 298 35 
184 428 408 
21 248 171 
278 336 670 
384 442 254 
155 349 324 
135 227 890 
63 259 77 
157 81 619 
89 459 974 
392 386 168 
499 7 113 
449 260 554 
177 90 990 
358 45 768 
112 254 495 
242 53 818 
381 48 58 
349 145 963 
388 379 726 
166 136 295 
155 494 624 
32 31 723 
394 92 711 
192 354 990 
420 230 172 
14 10 443 
323 128 348 
86 453 780 
406 130 27 
336 144 516 
147 442 24 
436 118 522 
464 315 300 
327 450 300 
445 86 553 
103 483 347 
238 403 598 
326 354 907 
424 500 578 
419 386 784 
470 200 769 
52 317 429 
302 492 28 
425 354 526 
426 412 333 
377 325 180 
129 446 983 
290 407 882 
277 483 459 
323 338 445 
495 211 86 
157 217 899 
210 339 990 
385 264 135 
193 155 631 
235 132 872 
36 240 837 
268 480 330 
291 340 135 
476 387 590 
478 174 989 
281 256 254 
301 291 1 
185 200 708 
50 267 533 
352 101 632 
408 5 655 
360 422 171 
460 86 993 
461 37 632 
140 224 399 
149 90 578 
174 381 745 
289 349 949 
4 412 135 
6 90 143 
405 269 44 
402 122 446 
376 264 960 
71 376 18 
493 360 570 
29 495 470 
224 381 52 
139 414 581 
191 369 62 
416 120 58 
177 19 768 
22 237 538 
290 378 91 
275 138 936 
474 378 965 
246 367 235 
10 303 616 
490 444 208 
323 184 638 
190 24 318 
208 68 528 
359 76 935 
68 192 100 
382 339 127 
486 198 633 
306 368 585 
121 231 958 
491 342 348 
111 265 139 
36 11 311 
229 112 363 
214 352 32 
264 231 902 
86 375 712 
427 485 549 
13 167 512 
429 452 67 
184 297 451 
133 244 158 
470 14 144 
461 104 294 
444 416 746 
186 375 967 
462 428 158 
19 105 834 
487 408 841 
100 245 83 
295 464 932 
448 428 858 
76 13 631 
226 14 370 
386 236 402 
19 500 908 
449 389 711 
482 69 364 
345 219 938 
81 68 236 
382 178 621 
170 144 882 
156 170 572 
390 200 546 
355 467 222 
30 322 473 
304 127 548 
181 407 970 
265 130 648 
37 203 995 
242 270 559 
466 378 461 
281 16 220 
151 95 533 
308 71 57 
129 224 109 
170 87 439 
96 108 901 
253 242 300 
271 65 220 
340 202 959 
90 485 740 
434 235 607 
102 308 510 
153 488 489 
446 77 719 
16 168 43 
226 406 275 
217 496 780 
238 289 978 
69 163 434 
490 9 976 
219 61 877 
387 494 642 
263 452 946 
77 285 340 
434 177 214 
417 347 68 
333 275 47 
272 460 17 
263 372 945 
280 283 256 
331 481 649 
299 439 32 
185 495 241 
445 133 455 
38 308 223 
393 5 196 
364 474 391 
495 101 658 
214 298 787 
379 180 445 
123 56 185 
75 417 662 
215 327 899 
43 93 36 
58 310 671 
181 467 523 
335 476 170 
212 92 993 
23 313 394 
154 377 618 
438 64 796 
204 406 161 
83 379 936 
490 198 340 
254 47 98 
471 471 689 
285 31 901 
392 121 656 
400 375 756 
296 484 317 
276 496 422 
129 237 291 
388 406 93 
118 263 686 
155 403 125 
117 427 161 
287 128 289 
414 149 145 
162 439 517 
472 53 529 
268 406 446 
399 159 656 
327 381 144 
477 227 549 
205 27 853 
165 374 733 
344 180 835 
294 122 499 
210 22 288 
20 99 685 
350 190 91 
145 261 745 
262 156 85 
241 135 509 
25 427 555 
288 130 318 
228 215 512 
132 86 714 
171 434 788 
354 270 108 
366 45 547 
250 493 730 
118 407 301 
195 190 493 
234 23 841 
487 494 342 
35 407 661 
234 88 926 
392 276 780 
192 21 395 
474 304 707 
144 63 6 
204 10 141 
293 177 701 
52 96 468 
159 190 129 
278 209 186 
440 336 43 
233 63 182 
384 182 415 
79 185 104 
269 407 292 
349 234 640 
186 380 748 
452 443 50 
320 333 146 
353 34 428 
400 383 514 
49 92 618 
124 403 674 
285 81 957 
178 27 621 
485 410 846 
221 372 776 
489 350 353 
243 273 733 
148 159 370 
417 403 826 
148 185 732 
37 230 88 
165 121 716 
295 399 601 
16 422 4 
399 44 28 
13 175 822 
134 422 25 
458 39 554 
70 317 417 
380 266 146 
198 490 566 
266 259 470 
356 37 948 
186 149 135 
296 190 712 
425 256 27 
328 244 45 
428 240 727 
281 495 749 
476 243 67 
407 343 276 
208 238 703 
69 323 984 
353 223 812 
297 60 673 
268 99 367 
220 372 148 
209 436 171 
451 139 194 
208 68 20 
229 255 92 
487 249 660 
444 287 920 
200 432 310 
100 75 706 
240 406 58 
385 422 495 
161 493 370 
129 216 245 
42 71 769 
336 150 743 
157 18 326 
154 119 273 
60 137 567 
214 10 136 
441 370 76 
173 60 222 
41 45 610 
407 354 745 
226 482 406 
475 19 30 
258 27 767 
327 430 549 
109 22 75 
147 43 620 
209 133 830 
460 149 310 
129 218 993 
51 234 417 
260 301 188 
34 385 715 
302 468 314 
320 194 289 
53 55 182 
358 457 216 
45 74 519 
58 322 939 
92 414 303 
161 274 840 
296 27 409 
446 345 526 
110 205 137 
59 58 215 
241 141 379 
172 353 588 
359 163 639 
173 63 398 
324 104 145 
185 497 347 
168 327 753 
148 54 152 
255 33 230 
452 432 996 
304 220 639 
355 165 580 
66 449 807 
343 109 618 
385 260 418 
87 455 75 
4 122 982 
410 64 266 
287 184 81 
376 169 431 
243 346 741 
127 469 190 
175 202 342 
311 108 431 
74 17 592 
59 46 799 
99 269 532 
415 290 168 
117 175 940 
171 129 101 
186 420 645 
201 162 952 
471 37 63 
317 348 612 
232 386 109 
148 382 516 
308 146 821 
460 355 183 
367 192 526 
425 154 808 
162 360 720 
36 81 727 
69 396 638 
310 94 168 
102 199 263 
474 283 132 
85 309 772 
33 369 701 
135 350 585 
15 308 145 
114 362 799 
470 319 950 
394 97 385 
266 111 919 
347 150 383 
17 157 533 
93 81 55 
344 139 397 
363 294 349 
368 33 246 
331 268 72 
373 225 788 
3 304 756 
165 428 687 
59 251 972 
270 101 80 
219 163 469 
372 271 744 
311 15 724 
228 420 65 
347 260 418 
468 43 868 
201 462 27 
115 284 14 
212 114 471 
445 2 271 
364 465 54 
181 104 352 
496 166 326 
47 163 518 
415 288 575 
311 216 865 
80 55 641 
255 67 200 
203 213 519 
237 415 875 
355 340 22 
182 42 997 
482 181 91 
129 34 853 
231 416 719 
98 237 111 
318 44 244 
462 251 538 
92 51 347 
403 259 848 
267 42 992 
295 199 234 
234 283 86 
61 246 509 
145 276 807 
14 422 701 
5 140 200 
62 377 935 
110 42 631 
459 456 160 
328 35 192 
111 268 288 
494 91 802 
326 273 781 
91 307 599 
368 446 127 
321 414 601 
239 471 246 
359 346 46 
405 389 621 
57 201 659 
25 497 535 
9 441 823 
103 337 133 
49 270 175 
435 418 466 
258 55 215 
167 310 123 
486 117 889 
166 488 729 
1 315 617 
285 446 864 
381 60 18 
474 311 99 
80 321 782 
60 289 265 
15 44 662 
278 7 16 
147 226 338 
377 307 115 
110 322 2 
420 334 735 
412 52 775 
56 399 392 
101 99 948 
366 339 819 
237 217 204 
407 402 310 
219 99 811 
311 225 905 
398 227 933 
441 349 725 
343 130 293 
366 169 565 
147 333 342 
412 348 456 
105 300 784 
47 343 947 
232 131 144 
205 372 668 
210 494 59 
257 153 169 
177 97 904 
105 280 658 
345 83 667 
223 67 916 
334 414 618 
485 105 930 
62 319 311 
382 89 397 
57 401 788 
432 425 253 
429 450 661 
353 466 863 
327 254 894 
169 111 497 
60 334 907 
445 14 584 
432 290 745 
256 166 173 
68 411 977 
45 103 616 
471 261 417 
211 100 456 
31 170 101 
60 21 671 
356 366 608 
225 499 890 
138 171 52 
472 328 129 
383 114 773 
438 195 562 
122 290 324 
221 233 172 
169 121 607 
78 403 206 
59 276 944 
111 339 627 
135 297 801 
424 289 930 
455 99 880 
250 209 235 
450 250 459 
83 1 454 
491 254 341 
4 168 596 
303 88 210 
265 138 646 
164 198 669 
496 424 289 
82 481 830 
24 329 542 
1 31 887 
448 442 667 
389 381 340 
75 219 487 
433 150 296 
285 253 987 
82 376 475 
185 13 764 
362 429 94 
285 135 405 
313 66 707 
20 411 556 
108 39 709 
66 103 191 
168 159 625 
254 420 4 
348 304 788 
426 305 608 
271 325 697 
327 377 217 
72 192 86 
340 339 407 
98 387 539 
288 497 808 
318 482 611 
39 223 165 
54 229 503 
475 201 469 
82 43 192 
311 282 323 
64 66 299 
349 423 28 
385 14 571 
246 432 137 
96 479 419 
81 156 839 
173 339 206 
211 245 617 
190 276 893 
258 463 244 
282 177 623 
158 72 991 
321 435 44 
423 6 588 
493 7 593 
65 127 678 
222 10 843 
178 32 266 
188 209 529 
81 134 283 
182 464 581 
223 478 127 
225 294 52 
398 187 500 
455 171 945 
67 407 394 
71 246 260 
148 210 715 
425 166 259 
121 165 11 
438 110 196 
172 335 90 
472 439 265 
311 128 619 
178 350 634 
186 438 782 
58 127 352 
268 29 536 
364 239 219 
78 156 732 
14 257 751 
386 72 188 
76 430 339 
229 300 190 
488 398 893 
407 227 283 
198 311 357 
265 188 689 
375 4 249 
373 114 500 
269 93 569 
39 84 612 
442 438 82 
31 448 490 
49 77 916 
183 85 353 
256 396 247 
2 478 96 
119 27 237 
100 465 139 
426 35 395 
107 294 459 
469 72 328 
250 194 496 
15 302 139 
291 84 35 
298 368 602 
430 493 226 
290 170 964 
178 368 232 
266 242 364 
290 428 56 
376 231 0 
122 175 130 
445 450 86 
146 7 614 
221 23 598 
462 71 388 
206 249 635 
201 12 59 
46 397 990 
176 48 583 
184 421 72 
96 62 560 
207 113 226 
241 160 657 
20 250 390 
114 335 551 
38 393 370 
385 332 46 
430 20 825 
418 366 483 
83 239 301 
54 391 360 
366 395 658 
97 49 578 
289 125 195 
111 305 4 
374 246 199 
361 443 585 
103 45 750 
494 450 694 
158 7 965 
358 304 337 
13 88 982 
13 259 816 
54 437 830 
410 56 937 
300 304 94 
36 436 786 
12 31 216 
143 158 108 
392 396 41 
119 154 356 
163 160 373 
411 364 353 
173 260 808 
465 178 38 
393 483 946 
323 447 864 
395 386 8 
383 428 5 
359 409 7 
400 65 99 
233 331 185 
416 135 103 
242 373 722 
414 2 951 
341 277 292 
165 152 523 
313 415 664 
55 316 631 
457 107 73 
451 497 795 
496 230 649 
487 215 974 
129 273 311 
227 496 440 
241 278 113 
8 251 275 
175 68 457 
287 399 801 
40 204 689 
370 231 701 
452 147 102 
361 424 230 
336 257 993 
410 429 470 
81 40 861 
94 171 885 
103 86 987 
420 83 376 
73 397 829 
330 32 141 
218 413 444 
468 148 602 
476 438 292 
10 147 509 
40 286 284 
413 440 999 
455 376 124 
231 18 168 
350 146 632 
357 376 74 
47 466 598 
208 359 840 
123 185 851 
327 446 203 
162 292 332 
66 160 245 
198 381 175 
371 119 130 
22 104 179 
326 372 299 
327 45 554 
369 152 909 
434 358 424 
171 476 35 
149 139 330 
453 481 248 
499 51 80 
341 160 758 
148 218 31 
92 328 874 
98 428 565 
456 144 178 
61 452 115 
493 239 535 
388 26 491 
450 147 909 
475 92 925 
350 445 770 
330 195 137 
436 25 783 
366 292 580 
235 372 545 
297 32 930 
352 292 42 
229 343 33 
60 235 71 
156 161 856 
414 152 859 
466 276 860 
471 13 111 
124 444 758 
59 122 684 
411 346 275 
484 213 249 
181 466 542 
323 75 872 
325 425 784 
437 12 416 
299 430 375 
396 392 446 
448 221 226 
55 462 104 
463 192 166 
295 182 604 
386 10 25 
314 399 120 
333 192 967 
218 98 278 
2 37 2 
482 61 346 
220 186 366 
35 376 341 
459 396 458 
473 291 3 
261 77 268 
13 393 202 
228 247 597 
444 294 672 
246 229 968 
90 337 295 
341 283 179 
298 82 805 
155 348 747 
4 322 1000 
311 242 288 
252 250 458 
340 162 681 
58 85 956 
83 176 430 
208 458 448 
113 251 591 
145 183 491 
230 198 664 
407 465 178 
309 380 85 
388 105 358 
72 69 886 
309 258 288 
201 127 488 
285 164 584 
42 352 171 
237 179 621 
179 441 988 
481 430 555 
398 219 422 
136 457 556 
278 426 574 
156 332 368 
414 392 307 
268 398 318 
207 300 701 
124 160 582 
430 132 782 
22 266 60 
142 375 363 
344 444 500 
262 121 336 
293 3 766 
221 74 349 
487 354 365 
460 346 590 
357 143 677 
114 459 159 
62 282 175 
81 137 916 
361 99 325 
35 445 736 
312 230 687 
477 286 759 
1 366 776 
38 393 489 
400 78 425 
484 202 460 
188 116 350 
138 100 55 
270 293 636 
184 96 120 
154 415 678 
495 402 599 
336 151 738 
355 61 662 
80 136 936 
380 460 768 
410 243 941 
442 26 958 
233 64 398 
483 56 708 
434 371 763 
323 346 592 
354 130 827 
342 136 378 
484 495 641 
207 479 621 
226 448 966 
238 343 457 
456 452 540 
415 344 265 
280 65 353 
392 433 456 
430 426 604 
121 411 10 
497 286 541 
207 376 919 
24 375 515 
94 463 474 
330 210 641 
43 67 930 
139 139 38 
213 141 663 
140 442 921 
300 4 454 
405 76 387 
444 341 826 
335 134 822 
65 442 469 
287 354 305 
105 33 244 
349 448 265 
324 215 126 
459 324 786 
384 481 585 
329 236 671 
364 261 741 
261 38 111 
36 264 564 
381 84 48 
86 281 82 
72 390 314 
353 451 53 
151 59 973 
487 458 46 
403 219 871 
417 104 975 
272 462 26 
80 400 414 
459 390 288 
224 184 113 
430 263 138 
107 225 182 
131 308 306 
311 424 582 
202 272 82 
211 268 314 
78 356 177 
341 47 733 
9 436 698 
181 255 823 
306 92 302 
285 353 126 
394 78 951 
213 238 918 
427 12 662 
454 284 661 
291 340 383 
138 460 968 
154 38 318 
487 169 295 
147 339 808 
472 413 233 
4 382 641 
349 274 841 
139 329 760 
336 74 596 
443 253 568 
125 445 136 
15 309 218 
45 105 134 
249 58 511 
474 209 856 
5 170 867 
303 492 14 
74 374 411 
301 477 829 
447 446 388 
422 26 45 
4 40 568 
10 264 46 
233 93 504 
240 249 243 
410 142 69 
390 37 212 
326 40 939 
32 328 707 
400 9 773 
374 469 376 
59 85 374 
39 44 849 
383 342 572 
285 28 84 
39 44 465 
45 418 464 
8 246 728 
314 374 151 
415 446 135 
65 313 611 
423 402 518 
396 129 534 
371 122 611 
41 155 569 
98 408 944 
143 95 388 
92 322 24 
470 362 977 
260 410 62 
245 402 501 
57 500 742 
356 153 864 
32 68 538 
116 351 485 
215 333 636 
150 191 472 
174 390 222 
181 337 827 
197 269 926 
72 257 752 
162 169 490 
113 357 266 
173 138 176 
31 198 817 
322 497 621 
5 286 640 
75 103 655 
23 383 556 
83 429 277 
38 40 742 
357 397 750 
44 419 29 
404 491 415 
218 465 741 
22 207 67 
52 91 403 
63 85 479 
187 392 610 
325 48 743 
283 255 98 
358 101 858 
461 328 768 
358 193 228 
485 347 325 
281 381 241 
422 400 111 
275 346 599 
206 5 92 
427 223 617 
194 87 184 
456 438 952 
380 319 28 
236 199 379 
307 374 278 
311 61 836 
399 167 50 
213 297 927 
14 388 722 
205 336 226 
78 228 531 
361 165 195 
439 211 229 
403 440 523 
40 270 266 
318 375 119 
451 179 790 
340 387 606 
494 465 96 
462 198 877 
